Threat,Feature,Classification,Reason
PortScan,Flow ID,Observable,Can be obtained from the originator/forward direction or from endpoint/protocol metadata visible to the sensor.
PortScan,Source IP,Observable,Can be obtained from the originator/forward direction or from endpoint/protocol metadata visible to the sensor.
PortScan,Source Port,Observable,Can be obtained from the originator/forward direction or from endpoint/protocol metadata visible to the sensor.
PortScan,Destination IP,Observable,Can be obtained from the originator/forward direction or from endpoint/protocol metadata visible to the sensor.
PortScan,Destination Port,Observable,Can be obtained from the originator/forward direction or from endpoint/protocol metadata visible to the sensor.
PortScan,Protocol,Observable,Can be obtained from the originator/forward direction or from endpoint/protocol metadata visible to the sensor.
PortScan,Timestamp,Observable,Can be obtained from the originator/forward direction or from endpoint/protocol metadata visible to the sensor.
PortScan,Flow Duration,Responder-dependent,The original CICFlowMeter feature depends on bidirectional flow information and cannot be safely obtained from a strict one-way sensor.
PortScan,Total Fwd Packets,Observable,Can be obtained from the originator/forward direction or from endpoint/protocol metadata visible to the sensor.
PortScan,Total Backward Packets,Responder-dependent,The original CICFlowMeter feature depends on bidirectional flow information and cannot be safely obtained from a strict one-way sensor.
PortScan,Total Length of Fwd Packets,Observable,Can be obtained from the originator/forward direction or from endpoint/protocol metadata visible to the sensor.
PortScan,Total Length of Bwd Packets,Responder-dependent,The original CICFlowMeter feature depends on bidirectional flow information and cannot be safely obtained from a strict one-way sensor.
PortScan,Fwd Packet Length Max,Observable,Can be obtained from the originator/forward direction or from endpoint/protocol metadata visible to the sensor.
PortScan,Fwd Packet Length Min,Observable,Can be obtained from the originator/forward direction or from endpoint/protocol metadata visible to the sensor.
PortScan,Fwd Packet Length Mean,Observable,Can be obtained from the originator/forward direction or from endpoint/protocol metadata visible to the sensor.
PortScan,Fwd Packet Length Std,Observable,Can be obtained from the originator/forward direction or from endpoint/protocol metadata visible to the sensor.
PortScan,Bwd Packet Length Max,Responder-dependent,The original CICFlowMeter feature depends on bidirectional flow information and cannot be safely obtained from a strict one-way sensor.
PortScan,Bwd Packet Length Min,Responder-dependent,The original CICFlowMeter feature depends on bidirectional flow information and cannot be safely obtained from a strict one-way sensor.
PortScan,Bwd Packet Length Mean,Responder-dependent,The original CICFlowMeter feature depends on bidirectional flow information and cannot be safely obtained from a strict one-way sensor.
PortScan,Bwd Packet Length Std,Responder-dependent,The original CICFlowMeter feature depends on bidirectional flow information and cannot be safely obtained from a strict one-way sensor.
PortScan,Flow Bytes/s,Responder-dependent,The original CICFlowMeter feature depends on bidirectional flow information and cannot be safely obtained from a strict one-way sensor.
PortScan,Flow Packets/s,Responder-dependent,The original CICFlowMeter feature depends on bidirectional flow information and cannot be safely obtained from a strict one-way sensor.
PortScan,Flow IAT Mean,Responder-dependent,The original CICFlowMeter feature depends on bidirectional flow information and cannot be safely obtained from a strict one-way sensor.
PortScan,Flow IAT Std,Responder-dependent,The original CICFlowMeter feature depends on bidirectional flow information and cannot be safely obtained from a strict one-way sensor.
PortScan,Flow IAT Max,Responder-dependent,The original CICFlowMeter feature depends on bidirectional flow information and cannot be safely obtained from a strict one-way sensor.
PortScan,Flow IAT Min,Responder-dependent,The original CICFlowMeter feature depends on bidirectional flow information and cannot be safely obtained from a strict one-way sensor.
PortScan,Fwd IAT Total,Observable,Can be obtained from the originator/forward direction or from endpoint/protocol metadata visible to the sensor.
PortScan,Fwd IAT Mean,Observable,Can be obtained from the originator/forward direction or from endpoint/protocol metadata visible to the sensor.
PortScan,Fwd IAT Std,Observable,Can be obtained from the originator/forward direction or from endpoint/protocol metadata visible to the sensor.
PortScan,Fwd IAT Max,Observable,Can be obtained from the originator/forward direction or from endpoint/protocol metadata visible to the sensor.
PortScan,Fwd IAT Min,Observable,Can be obtained from the originator/forward direction or from endpoint/protocol metadata visible to the sensor.
PortScan,Bwd IAT Total,Responder-dependent,The original CICFlowMeter feature depends on bidirectional flow information and cannot be safely obtained from a strict one-way sensor.
PortScan,Bwd IAT Mean,Responder-dependent,The original CICFlowMeter feature depends on bidirectional flow information and cannot be safely obtained from a strict one-way sensor.
PortScan,Bwd IAT Std,Responder-dependent,The original CICFlowMeter feature depends on bidirectional flow information and cannot be safely obtained from a strict one-way sensor.
PortScan,Bwd IAT Max,Responder-dependent,The original CICFlowMeter feature depends on bidirectional flow information and cannot be safely obtained from a strict one-way sensor.
PortScan,Bwd IAT Min,Responder-dependent,The original CICFlowMeter feature depends on bidirectional flow information and cannot be safely obtained from a strict one-way sensor.
PortScan,Fwd PSH Flags,Observable,Can be obtained from the originator/forward direction or from endpoint/protocol metadata visible to the sensor.
PortScan,Bwd PSH Flags,Responder-dependent,The original CICFlowMeter feature depends on bidirectional flow information and cannot be safely obtained from a strict one-way sensor.
PortScan,Fwd URG Flags,Observable,Can be obtained from the originator/forward direction or from endpoint/protocol metadata visible to the sensor.
PortScan,Bwd URG Flags,Responder-dependent,The original CICFlowMeter feature depends on bidirectional flow information and cannot be safely obtained from a strict one-way sensor.
PortScan,Fwd Header Length,Observable,Can be obtained from the originator/forward direction or from endpoint/protocol metadata visible to the sensor.
PortScan,Bwd Header Length,Responder-dependent,The original CICFlowMeter feature depends on bidirectional flow information and cannot be safely obtained from a strict one-way sensor.
PortScan,Fwd Packets/s,Observable,Can be obtained from the originator/forward direction or from endpoint/protocol metadata visible to the sensor.
PortScan,Bwd Packets/s,Responder-dependent,The original CICFlowMeter feature depends on bidirectional flow information and cannot be safely obtained from a strict one-way sensor.
PortScan,Min Packet Length,Responder-dependent,The original CICFlowMeter feature depends on bidirectional flow information and cannot be safely obtained from a strict one-way sensor.
PortScan,Max Packet Length,Responder-dependent,The original CICFlowMeter feature depends on bidirectional flow information and cannot be safely obtained from a strict one-way sensor.
PortScan,Packet Length Mean,Responder-dependent,The original CICFlowMeter feature depends on bidirectional flow information and cannot be safely obtained from a strict one-way sensor.
PortScan,Packet Length Std,Responder-dependent,The original CICFlowMeter feature depends on bidirectional flow information and cannot be safely obtained from a strict one-way sensor.
PortScan,Packet Length Variance,Responder-dependent,The original CICFlowMeter feature depends on bidirectional flow information and cannot be safely obtained from a strict one-way sensor.
PortScan,FIN Flag Count,Responder-dependent,The original CICFlowMeter feature depends on bidirectional flow information and cannot be safely obtained from a strict one-way sensor.
PortScan,SYN Flag Count,Responder-dependent,The original CICFlowMeter feature depends on bidirectional flow information and cannot be safely obtained from a strict one-way sensor.
PortScan,RST Flag Count,Responder-dependent,The original CICFlowMeter feature depends on bidirectional flow information and cannot be safely obtained from a strict one-way sensor.
PortScan,PSH Flag Count,Responder-dependent,The original CICFlowMeter feature depends on bidirectional flow information and cannot be safely obtained from a strict one-way sensor.
PortScan,ACK Flag Count,Responder-dependent,The original CICFlowMeter feature depends on bidirectional flow information and cannot be safely obtained from a strict one-way sensor.
PortScan,URG Flag Count,Responder-dependent,The original CICFlowMeter feature depends on bidirectional flow information and cannot be safely obtained from a strict one-way sensor.
PortScan,CWE Flag Count,Responder-dependent,The original CICFlowMeter feature depends on bidirectional flow information and cannot be safely obtained from a strict one-way sensor.
PortScan,ECE Flag Count,Responder-dependent,The original CICFlowMeter feature depends on bidirectional flow information and cannot be safely obtained from a strict one-way sensor.
PortScan,Down/Up Ratio,Responder-dependent,The original CICFlowMeter feature depends on bidirectional flow information and cannot be safely obtained from a strict one-way sensor.
PortScan,Average Packet Size,Responder-dependent,The original CICFlowMeter feature depends on bidirectional flow information and cannot be safely obtained from a strict one-way sensor.
PortScan,Avg Fwd Segment Size,Observable,Can be obtained from the originator/forward direction or from endpoint/protocol metadata visible to the sensor.
PortScan,Avg Bwd Segment Size,Responder-dependent,The original CICFlowMeter feature depends on bidirectional flow information and cannot be safely obtained from a strict one-way sensor.
PortScan,Fwd Header Length.1,Observable,Can be obtained from the originator/forward direction or from endpoint/protocol metadata visible to the sensor.
PortScan,Fwd Avg Bytes/Bulk,Observable,Can be obtained from the originator/forward direction or from endpoint/protocol metadata visible to the sensor.
PortScan,Fwd Avg Packets/Bulk,Observable,Can be obtained from the originator/forward direction or from endpoint/protocol metadata visible to the sensor.
PortScan,Fwd Avg Bulk Rate,Observable,Can be obtained from the originator/forward direction or from endpoint/protocol metadata visible to the sensor.
PortScan,Bwd Avg Bytes/Bulk,Responder-dependent,The original CICFlowMeter feature depends on bidirectional flow information and cannot be safely obtained from a strict one-way sensor.
PortScan,Bwd Avg Packets/Bulk,Responder-dependent,The original CICFlowMeter feature depends on bidirectional flow information and cannot be safely obtained from a strict one-way sensor.
PortScan,Bwd Avg Bulk Rate,Responder-dependent,The original CICFlowMeter feature depends on bidirectional flow information and cannot be safely obtained from a strict one-way sensor.
PortScan,Subflow Fwd Packets,Observable,Can be obtained from the originator/forward direction or from endpoint/protocol metadata visible to the sensor.
PortScan,Subflow Fwd Bytes,Observable,Can be obtained from the originator/forward direction or from endpoint/protocol metadata visible to the sensor.
PortScan,Subflow Bwd Packets,Responder-dependent,The original CICFlowMeter feature depends on bidirectional flow information and cannot be safely obtained from a strict one-way sensor.
PortScan,Subflow Bwd Bytes,Responder-dependent,The original CICFlowMeter feature depends on bidirectional flow information and cannot be safely obtained from a strict one-way sensor.
PortScan,Init_Win_bytes_forward,Observable,Can be obtained from the originator/forward direction or from endpoint/protocol metadata visible to the sensor.
PortScan,Init_Win_bytes_backward,Responder-dependent,The original CICFlowMeter feature depends on bidirectional flow information and cannot be safely obtained from a strict one-way sensor.
PortScan,act_data_pkt_fwd,Observable,Can be obtained from the originator/forward direction or from endpoint/protocol metadata visible to the sensor.
PortScan,min_seg_size_forward,Observable,Can be obtained from the originator/forward direction or from endpoint/protocol metadata visible to the sensor.
PortScan,Active Mean,Responder-dependent,The original CICFlowMeter feature depends on bidirectional flow information and cannot be safely obtained from a strict one-way sensor.
PortScan,Active Std,Responder-dependent,The original CICFlowMeter feature depends on bidirectional flow information and cannot be safely obtained from a strict one-way sensor.
PortScan,Active Max,Responder-dependent,The original CICFlowMeter feature depends on bidirectional flow information and cannot be safely obtained from a strict one-way sensor.
PortScan,Active Min,Responder-dependent,The original CICFlowMeter feature depends on bidirectional flow information and cannot be safely obtained from a strict one-way sensor.
PortScan,Idle Mean,Responder-dependent,The original CICFlowMeter feature depends on bidirectional flow information and cannot be safely obtained from a strict one-way sensor.
PortScan,Idle Std,Responder-dependent,The original CICFlowMeter feature depends on bidirectional flow information and cannot be safely obtained from a strict one-way sensor.
PortScan,Idle Max,Responder-dependent,The original CICFlowMeter feature depends on bidirectional flow information and cannot be safely obtained from a strict one-way sensor.
PortScan,Idle Min,Responder-dependent,The original CICFlowMeter feature depends on bidirectional flow information and cannot be safely obtained from a strict one-way sensor.
PortScan,Label,Excluded/label,Attack/benign ground-truth label supplied by the dataset; not observable from network traffic.
DDoS,Flow ID,Observable,Can be obtained from the monitored/forward direction without requiring responder traffic.
DDoS,Source IP,Observable,Can be obtained from the monitored/forward direction without requiring responder traffic.
DDoS,Source Port,Observable,Can be obtained from the monitored/forward direction without requiring responder traffic.
DDoS,Destination IP,Observable,Can be obtained from the monitored/forward direction without requiring responder traffic.
DDoS,Destination Port,Observable,Can be obtained from the monitored/forward direction without requiring responder traffic.
DDoS,Protocol,Observable,Can be obtained from the monitored/forward direction without requiring responder traffic.
DDoS,Timestamp,Observable,Can be obtained from the monitored/forward direction without requiring responder traffic.
DDoS,Flow Duration,Responder-dependent,Original CICFlowMeter value is flow-wide/bidirectional and is not safe for strict one-way observation.
DDoS,Total Fwd Packets,Observable,Can be obtained from the monitored/forward direction without requiring responder traffic.
DDoS,Total Backward Packets,Responder-dependent,Requires traffic from the reverse/responder direction.
DDoS,Total Length of Fwd Packets,Observable,Can be obtained from the monitored/forward direction without requiring responder traffic.
DDoS,Total Length of Bwd Packets,Responder-dependent,Requires traffic from the reverse/responder direction.
DDoS,Fwd Packet Length Max,Observable,Can be obtained from the monitored/forward direction without requiring responder traffic.
DDoS,Fwd Packet Length Min,Observable,Can be obtained from the monitored/forward direction without requiring responder traffic.
DDoS,Fwd Packet Length Mean,Observable,Can be obtained from the monitored/forward direction without requiring responder traffic.
DDoS,Fwd Packet Length Std,Observable,Can be obtained from the monitored/forward direction without requiring responder traffic.
DDoS,Bwd Packet Length Max,Responder-dependent,Requires traffic from the reverse/responder direction.
DDoS,Bwd Packet Length Min,Responder-dependent,Requires traffic from the reverse/responder direction.
DDoS,Bwd Packet Length Mean,Responder-dependent,Requires traffic from the reverse/responder direction.
DDoS,Bwd Packet Length Std,Responder-dependent,Requires traffic from the reverse/responder direction.
DDoS,Flow Bytes/s,Responder-dependent,Original CICFlowMeter value is flow-wide/bidirectional and is not safe for strict one-way observation.
DDoS,Flow Packets/s,Responder-dependent,Original CICFlowMeter value is flow-wide/bidirectional and is not safe for strict one-way observation.
DDoS,Flow IAT Mean,Responder-dependent,Original CICFlowMeter value is flow-wide/bidirectional and is not safe for strict one-way observation.
DDoS,Flow IAT Std,Responder-dependent,Original CICFlowMeter value is flow-wide/bidirectional and is not safe for strict one-way observation.
DDoS,Flow IAT Max,Responder-dependent,Original CICFlowMeter value is flow-wide/bidirectional and is not safe for strict one-way observation.
